价格,网址,商品名称,裸机重量,厚度,屏幕尺寸,待机时长,屏幕色域,系统,处理器,内存,固态硬盘,显卡
,,,,,,,,,,,,
8999,//item.jd.com/100010793473.html,联想拯救者R9000P,none,20.0mm以上,16.0-16.9英寸,none,100%sRGB,Windows 10 带Office,AMD R7,16GB,512GB,RTX3060
,,,,,,,,,,,,
8999,//item.jd.com/100020923600.html,惠普16-b0007TX,none,20.0mm以上,16.0-16.9英寸,none,100%sRGB,Windows 10 带Office,Intel i7,16GB,512GB,RTX3060
,,,,,,,,,,,,
9999,//item.jd.com/100019736906.html,联想拯救者R9000P,none,20.0mm以上,16.0-16.9英寸,none,100%sRGB,Windows 10 带Office,AMD R7,16GB,512GB,RTX3070
,,,,,,,,,,,,
6799,//item.jd.com/100022003044.html,联想拯救者Y7000,none,20.0mm以上,15.0-15.9英寸,none,100%sRGB,Windows 10 带Office,Intel i5,16GB,512GB,RTX3050
,,,,,,,,,,,,
4899,//item.jd.com/100021781178.html,none,none,none,none,none,none,none,none,none,none,none
,,,,,,,,,,,,
6399,//item.jd.com/100023344932.html,戴尔G15 5511,none,20.0mm以上,15.0-15.9英寸,none,none,Windows 10 带Office,Intel i5,16GB,512GB,RTX3050
,,,,,,,,,,,,
4399,//item.jd.com/100016777664.html,戴尔Ins 15-3501,none,18.1-20.0mm,15.0-15.9英寸,none,none,Windows 10 带Office,Intel i5,16GB,512GB,none
,,,,,,,,,,,,
4699,//item.jd.com/100018584132.html,联想小新Air,none,15.1-18.0mm,14.0-14.9英寸,none,none,Windows 10 带Office,AMD R5,16GB,512GB,none
,,,,,,,,,,,,
6299,//item.jd.com/100014239655.html,小米小米游戏本 ,none,20.0mm以上,16.0-16.9英寸,none,none,Windows 10 带Office,Intel i5,16GB,512GB,RTX3050
,,,,,,,,,,,,
8699,//item.jd.com/100011398429.html,华硕天选,2-2.5kg,20.0mm以上,15.0-15.9英寸,none,none,Windows 10 不带Office,Intel i7,16GB,512GB,RTX3060
,,,,,,,,,,,,
9299,//item.jd.com/100012622295.html,戴尔G15 5511,none,20.0mm以上,15.0-15.9英寸,none,none,Windows 10 带Office,Intel i7,16GB,512GB,RTX3060
,,,,,,,,,,,,
9999,//item.jd.com/100018276690.html,ROG魔霸新锐,2-2.5kg,20.0mm以上,15.0-15.9英寸,小于5小时,none,Windows 10 不带Office,AMD R9,16GB,512GB,RTX3060
,,,,,,,,,,,,
6199,//item.jd.com/100021782482.html,ThinkPadThinkBook 14p,1-1.5kg,15.1-18.0mm,14.0-14.9英寸,none,100%sRGB,Windows 10 带Office,AMD R7,16GB,512GB,none
,,,,,,,,,,,,
11999,//item.jd.com/100016724434.html,AppleMacBook Pro 13.3,1-1.5kg,15.1-18.0mm,13.0-13.9英寸,none,DCI-P3,MacOS,Apple M1,16GB,512GB,none
,,,,,,,,,,,,
4399,//item.jd.com/100011269283.html,none,none,none,none,none,none,none,none,none,none,none
,,,,,,,,,,,,
6699,//item.jd.com/100020923614.html,惠普16-b0002TX,none,20.0mm以上,16.0-16.9英寸,none,100%sRGB,Windows 10 带Office,Intel i5,16GB,512GB,RTX3050Ti
,,,,,,,,,,,,
